Code,Name,Type,Currency,Isin
CIQ-UN,Canadian High Income Equity Fund,FUND,CAD,
CIX,CI Financial Corp,Common Stock,CAD,CA1254911003
CJP,iShares Japan Fundamental (CAD-Hdg) Comm,ETF,CAD,
CJT-A,Cargojet Inc,Common Stock,CAD,
CKE,Chinook Energy Inc,Common Stock,CAD,
CKG,Chesapeake Gold Corp,Common Stock,GBP,
CLE,Clean Commodities Corp,Common Stock,CAD,
CLIQ,Alcanna Inc,Common Stock,CAD,CA01374C1095
CLMT,Purpose Global Climate Opportunities Fund ETF,ETF,CAD,CA74642J1075
CLO,CLO,ETF,CAD,
CLP-UN,International Clean Power Dividend Fund,FUND,CAD,
CLQ,Clean TeQ Holdings Limited,Common Stock,CAD,AU000000CLQ2
CLR,Clearwater Seafoods Incorporated,Common Stock,CAD,CA18538U1066
CLT,Celtic Exploration Ltd. (CLT.TO,Common Stock,CAD,
CLU,iShares US Fundamental (CAD-Hedged) Comm,ETF,CAD,
CLUP,SavvyLong Geared Crude Oil ETF,ETF,CAD,
CM-PG,CM-PG,Preferred Stock,CAD,
CM-PO,Canadian Imperial Bank of Commerce Pref O,Common Stock,CAD,CA1360694402
CM-PP,Canadian Imperial Bank of Commerce Pref P,Preferred Stock,CAD,CA1360694246
CM-PQ,Canadian Imperial Bank of Commerce Pref Q,Preferred Stock,CAD,CA1360693909
CM-PR,Canadian Imperial Bank of Commerce Class A,Common Stock,CAD,CA1360702080
CM-PT,Canadian Imperial Bank of Commerce Pref 49,Common Stock,CAD,CA1360707949
CM-PY,Canadian Imperial Bank of Commerce Pref 51,Common Stock,CAD,CA13607G7993
CMCE,CIBC Multifactor Canadian Equity,ETF,CAD,CA12545N1069
CMED,CanniMed Therapeutics Inc,Common Stock,CAD,
CMGG-U,CI Munro Global Growth Equity Fund ETF USD Hedged,ETF,USD,
CMH,Carmanah Technologies Corporation,Common Stock,CAD,
CMMC,Copper Mountain Mining Corp,Common Stock,CAD,CA21750U1012
CMT,Compton Petroleum Corporation (CMT.TO,Common Stock,CAD,
CMUE,CIBC Multifactor U.S. Equity ETF,ETF,CAD,CA17165P1099
CMUE-F,CIBC Multifactor U.S. Equity ETF,ETF,CAD,
CMVX,CI Galaxy Metaverse Index ETF CAD,ETF,CAD,CA17165D1069
CMW,CMW,ETF,CAD,
CNE,Canacol Energy Ltd.,Common Stock,CAD,CA1348082035
CNL_old,Continental Gold Ltd,Common Stock,CAD,CA21146A1084
CNU,CNOOC Limited,Common Stock,CAD,US1261321095
