kind,cik,date,name,sic,accession,ticker
APPROVAL,886163,2021-02-03,"LIGAND PHARMACEUTICALS INC  (LGND, LGNDZ, LGNXZ, LGNYZ, LGNZZ)",2834,0000886163-21-000022,LGNZZ
APPROVAL,1566373,2021-02-05,"F-star Therapeutics, Inc.",2834,0001193125-21-030817,
APPROVAL,1001316,2021-02-08,"TG THERAPEUTICS, INC.  (TGTX)",2834,0001558370-21-000791,TGTX
APPROVAL,1347178,2021-02-10,Vanda Pharmaceuticals Inc.  (VNDA),2834,0001347178-21-000002,VNDA
APPROVAL,1430306,2021-02-10,Tonix Pharmaceuticals Holding Corp.  (TNXP),2834,0001387131-21-001960,TNXP
APPROVAL,1679082,2021-02-11,Myovant Sciences Ltd.,2834,0001679082-21-000008,
APPROVAL,1560241,2021-02-16,"G1 Therapeutics, Inc.  (GTHX)",2834,0001193125-21-043247,
APPROVAL,1430306,2021-02-19,Tonix Pharmaceuticals Holding Corp.  (TNXP),2834,0001387131-21-002709,TNXP
CRL,1300699,2021-03-01,"Athenex, Inc.",2834,0001193125-21-062270,
CRL,1410098,2021-03-01,CorMedix Inc.  (CRMD),2834,0001213900-21-012383,CRMD
APPROVAL,1649904,2021-03-01,"RHYTHM PHARMACEUTICALS, INC.  (RYTM)",2834,0001104659-21-029719,RYTM
APPROVAL,1689813,2021-03-01,Biohaven Pharmaceutical Holding Co Ltd.,2834,0001689813-21-000017,
APPROVAL,1430306,2021-03-03,Tonix Pharmaceuticals Holding Corp.  (TNXP),2834,0001387131-21-003110,TNXP
APPROVAL,1434647,2021-03-03,"KEMPHARM, INC  (ZVRA)",2834,0001437749-21-004776,ZVRA
APPROVAL,1566044,2021-03-04,VYNE Therapeutics Inc.  (VYNE),2834,0001566044-21-000009,YARW
APPROVAL,1618835,2021-03-04,"Evofem Biosciences, Inc.  (EVFM)",2834,0001618835-21-000046,EVFM
APPROVAL,1325879,2021-03-10,"AVEO PHARMACEUTICALS, INC.",2834,0001193125-21-076328,
APPROVAL,1430306,2021-03-15,Tonix Pharmaceuticals Holding Corp.  (TNXP),2834,0001387131-21-003515,TNXP
APPROVAL,1325879,2021-03-16,"AVEO PHARMACEUTICALS, INC.",2834,0001564590-21-013612,
APPROVAL,1430306,2021-03-17,Tonix Pharmaceuticals Holding Corp.  (TNXP),2834,0001387131-21-003614,TNXP
APPROVAL,1430306,2021-03-22,Tonix Pharmaceuticals Holding Corp.  (TNXP),2834,0001387131-21-003769,TNXP
APPROVAL,1396814,2021-03-23,"Pacira BioSciences, Inc.  (PCRX)",2834,0001396814-21-000021,PCRX
APPROVAL,1802665,2021-03-25,"Harmony Biosciences Holdings, Inc.  (HRMY)",2834,0001193125-21-093436,HRMY
APPROVAL,1293971,2021-03-29,"bluebird bio, Inc.  (BLUE)",2836,0001293971-21-000027,
APPROVAL,1659617,2021-03-30,"Moleculin Biotech, Inc.  (MBRX)",2834,0001437749-21-007544,MBRX
APPROVAL,1082554,2021-04-01,UNITED THERAPEUTICS Corp  (UTHR),2834,0001104659-21-045097,UTHR
CRL,1070494,2021-04-05,ACADIA PHARMACEUTICALS INC  (ACAD),2834,0001193125-21-105632,ACAD
APPROVAL,1434647,2021-04-08,"KEMPHARM, INC  (ZVRA)",2834,0001437749-21-008560,ZVRA
APPROVAL,897448,2021-04-12,AMARIN CORP PLC\UK  (AMRN),2834,0001193125-21-113365,AMRN
APPROVAL,1175505,2021-04-15,"FIVE PRIME THERAPEUTICS, INC.",2834,0001193125-21-117841,
APPROVAL,1430306,2021-04-19,Tonix Pharmaceuticals Holding Corp.  (TNXP),2834,0001387131-21-004663,TNXP
APPROVAL,899460,2021-04-26,MANNKIND CORP  (MNKD),2834,0001193125-21-130221,MNKD
CRL,1006281,2021-04-28,"Protalix BioTherapeutics, Inc.  (PLX)",2836,0001558370-21-004976,PLX
APPROVAL,14272,2021-04-29,"BRISTOL MYERS SQUIBB CO  (BMY, BMYMP, CELG-RI)",2834,0000014272-21-000124,CELG-RI
APPROVAL,1597264,2021-04-29,Blueprint Medicines Corp  (BPMC),2834,0001558370-21-005175,
APPROVAL,897448,2021-04-29,AMARIN CORP PLC\UK  (AMRN),2834,0001564590-21-021567,AMRN
APPROVAL,1430306,2021-05-03,Tonix Pharmaceuticals Holding Corp.  (TNXP),2834,0001387131-21-005205,TNXP
APPROVAL,1649904,2021-05-03,"RHYTHM PHARMACEUTICALS, INC.  (RYTM)",2834,0001104659-21-059747,RYTM
APPROVAL,1566044,2021-05-06,VYNE Therapeutics Inc.  (VYNE),2834,0001566044-21-000024,YARW
APPROVAL,1325879,2021-05-10,"AVEO PHARMACEUTICALS, INC.",2834,0001564590-21-026035,
APPROVAL,1802665,2021-05-11,"Harmony Biosciences Holdings, Inc.  (HRMY)",2834,0001193125-21-157025,HRMY
CRL,1802768,2021-05-11,Royalty Pharma plc  (RPRX),2834,0001802768-21-000015,RPRX
APPROVAL,748592,2021-05-11,"Brooklyn ImmunoTherapeutics, Inc.  (ERNA)",2834,0001140361-21-016863,ERNAW
APPROVAL,1434647,2021-05-13,"KEMPHARM, INC  (ZVRA)",2834,0001437749-21-012062,ZVRA
APPROVAL,818033,2021-05-13,"HERON THERAPEUTICS, INC. /DE/  (HRTX)",2834,0001564590-21-027241,HRTX
APPROVAL,925741,2021-05-13,"BioCardia, Inc.  (BCDA)",2836,0001437749-21-011924,BCDA
APPROVAL,1722964,2021-05-19,"Y-mAbs Therapeutics, Inc.  (YMAB)",2834,0001104659-21-069337,
APPROVAL,1521036,2021-05-27,"Lantheus Holdings, Inc.  (LNTH)",2835,0001193125-21-174280,LNTH
CRL,1710340,2021-05-28,"Eton Pharmaceuticals, Inc.  (ETON)",2834,0001493152-21-013152,ETON
APPROVAL,1520262,2021-06-01,Alkermes plc.  (ALKS),2834,0001564590-21-030940,ALKS
APPROVAL,1689813,2021-06-01,Biohaven Pharmaceutical Holding Co Ltd.,2834,0001689813-21-000094,
APPROVAL,1710340,2021-06-15,"Eton Pharmaceuticals, Inc.  (ETON)",2834,0001493152-21-014410,ETON
APPROVAL,1597264,2021-06-16,Blueprint Medicines Corp  (BPMC),2834,0001104659-21-082076,
APPROVAL,1430306,2021-06-22,Tonix Pharmaceuticals Holding Corp.  (TNXP),2834,0001387131-21-006750,TNXP
APPROVAL,1430306,2021-06-28,Tonix Pharmaceuticals Holding Corp.  (TNXP),2834,0001387131-21-006912,TNXP
CRL,887359,2021-06-29,Vericel Corp  (VCEL),2836,0001104659-21-086855,VCEL
CRL,1695357,2021-07-06,"Provention Bio, Inc.",2834,0001493152-21-016153,
APPROVAL,1385508,2021-07-12,"OPIANT PHARMACEUTICALS, INC.",2834,0001385508-21-000092,
APPROVAL,1544227,2021-07-16,"Tempest Therapeutics, Inc.  (TPST)",2834,0001193125-21-217458,TPST
APPROVAL,1557142,2021-07-19,"Kadmon Holdings, Inc.",2834,0001557142-21-000062,
CRL,875045,2021-07-22,BIOGEN INC.  (BIIB),2836,0000875045-21-000041,BIIB
CRL,1659323,2021-07-26,Iterum Therapeutics plc  (ITRM),2834,0001564590-21-037933,
APPROVAL,14272,2021-07-28,"BRISTOL MYERS SQUIBB CO  (BMY, BMYMP, CELG-RI)",2834,0000014272-21-000184,CELG-RI
APPROVAL,1520262,2021-07-28,Alkermes plc.  (ALKS),2834,0001564590-21-038462,ALKS
APPROVAL,1597264,2021-07-29,Blueprint Medicines Corp  (BPMC),2834,0001558370-21-009545,
APPROVAL,886163,2021-07-29,"LIGAND PHARMACEUTICALS INC  (LGND, LGNDZ, LGNXZ, LGNYZ, LGNZZ)",2834,0000886163-21-000115,LGNZZ
CRL,1437402,2021-07-30,"ARDELYX, INC.  (ARDX)",2834,0001628280-21-014943,ARDX
APPROVAL,1551152,2021-07-30,AbbVie Inc.  (ABBV),2834,0001551152-21-000021,ABBV
APPROVAL,1430306,2021-08-02,Tonix Pharmaceuticals Holding Corp.  (TNXP),2834,0001387131-21-007968,TNXP
APPROVAL,897448,2021-08-05,AMARIN CORP PLC\UK  (AMRN),2834,0000950170-21-000843,AMRN
APPROVAL,1430306,2021-08-09,Tonix Pharmaceuticals Holding Corp.  (TNXP),2834,0001387131-21-008269,TNXP
APPROVAL,1689813,2021-08-09,Biohaven Pharmaceutical Holding Co Ltd.,2834,0001689813-21-000118,
APPROVAL,1087294,2021-08-10,CUMBERLAND PHARMACEUTICALS INC  (CPIX),2834,0001628280-21-016443,CPIX
CRL,1802768,2021-08-11,Royalty Pharma plc  (RPRX),2834,0001802768-21-000025,RPRX
APPROVAL,1802768,2021-08-11,Royalty Pharma plc  (RPRX),2834,0001802768-21-000025,RPRX
CRL,1485003,2021-08-13,"Sesen Bio, Inc.  (CARM)",2834,0001104659-21-105208,
APPROVAL,1710340,2021-08-16,"Eton Pharmaceuticals, Inc.  (ETON)",2834,0001493152-21-020195,ETON
APPROVAL,1346830,2021-08-23,"Cara Therapeutics, Inc.  (CARA)",2834,0001104659-21-108597,TVRD
APPROVAL,1430306,2021-08-24,Tonix Pharmaceuticals Holding Corp.  (TNXP),2834,0001839882-21-011650,TNXP
APPROVAL,1430306,2021-08-27,Tonix Pharmaceuticals Holding Corp.  (TNXP),2834,0001387131-21-009030,TNXP
APPROVAL,1739426,2021-09-08,Osmotica Pharmaceuticals plc  (RVLPQ),2834,0001104659-21-113594,
CRL,1660334,2021-09-20,Verrica Pharmaceuticals Inc.  (VRCA),2834,0001193125-21-277323,VRCA
APPROVAL,1689813,2021-09-27,Biohaven Pharmaceutical Holding Co Ltd.,2834,0001689813-21-000123,
APPROVAL,897448,2021-09-27,AMARIN CORP PLC\UK  (AMRN),2834,0001193125-21-283042,AMRN
APPROVAL,1635088,2021-09-28,Roivant Sciences Ltd.  (ROIV),2834,0001193125-21-284927,ROIV
APPROVAL,1759425,2021-09-29,"Mirum Pharmaceuticals, Inc.  (MIRM)",2834,0001193125-21-286815,MIRM
APPROVAL,1340652,2021-10-08,"ChemoCentryx, Inc.",2834,0001193125-21-295134,
CRL,1285819,2021-10-18,OMEROS CORP  (OMER),2834,0001558370-21-013245,OMER
APPROVAL,1720725,2021-10-18,"Oyster Point Pharma, Inc.",2836,0001720725-21-000081,
APPROVAL,887247,2021-10-18,Adamis Pharmaceuticals Corp  (DMKPQ),2834,0001387131-21-010061,
APPROVAL,1410939,2021-10-21,"IVERIC bio, Inc.",2834,0001410939-21-000045,
APPROVAL,1539029,2021-10-25,"Clearside Biomedical, Inc.  (CLSD)",2834,0000950170-21-002256,
APPROVAL,1710340,2021-10-28,"Eton Pharmaceuticals, Inc.  (ETON)",2834,0001493152-21-026566,ETON
APPROVAL,879169,2021-11-02,INCYTE CORP  (INCY),8731,0001558370-21-013984,INCY
APPROVAL,939767,2021-11-02,"EXELIXIS, INC.  (EXEL)",2836,0000939767-21-000096,EXEL
APPROVAL,897448,2021-11-03,AMARIN CORP PLC\UK  (AMRN),2834,0000950170-21-002719,AMRN
APPROVAL,1720725,2021-11-04,"Oyster Point Pharma, Inc.",2836,0001720725-21-000091,
APPROVAL,1710340,2021-11-08,"Eton Pharmaceuticals, Inc.  (ETON)",2834,0001493152-21-027456,ETON
APPROVAL,1340652,2021-11-09,"ChemoCentryx, Inc.",2834,0001193125-21-324510,
APPROVAL,1539029,2021-11-10,"Clearside Biomedical, Inc.  (CLSD)",2834,0000950170-21-004087,
APPROVAL,1759425,2021-11-15,"Mirum Pharmaceuticals, Inc.  (MIRM)",2834,0000950170-21-004584,MIRM
APPROVAL,1422142,2021-11-23,"Aadi Bioscience, Inc.  (AADI)",2834,0001193125-21-337294,WHWK
CRL,1211583,2021-11-30,FENNEC PHARMACEUTICALS INC.  (FENC),2836,0001104659-21-144897,FENC
APPROVAL,1087294,2021-12-01,CUMBERLAND PHARMACEUTICALS INC  (CPIX),2834,0001628280-21-024264,CPIX
APPROVAL,1368514,2021-12-01,"ADMA BIOLOGICS, INC.  (ADMA)",2836,0001140361-21-040002,ADMA
APPROVAL,764195,2021-12-01,VBI Vaccines Inc/BC  (VBIVQ),2834,0001493152-21-030147,
APPROVAL,818033,2021-12-09,"HERON THERAPEUTICS, INC. /DE/  (HRTX)",2834,0001564590-21-059819,HRTX
APPROVAL,827871,2021-12-15,"EAGLE PHARMACEUTICALS, INC.  (EGRX)",2834,0001104659-21-149951,
APPROVAL,1567514,2021-12-20,"Intra-Cellular Therapies, Inc.  (ITCI)",2834,0001193125-21-361725,
APPROVAL,1087294,2022-01-06,CUMBERLAND PHARMACEUTICALS INC  (CPIX),2834,0001628280-22-000440,CPIX
APPROVAL,1560241,2022-01-10,"G1 Therapeutics, Inc.  (GTHX)",2834,0001193125-22-005026,
APPROVAL,1629137,2022-01-10,"Global Blood Therapeutics, Inc.",2834,0001171843-22-000175,
APPROVAL,897448,2022-01-10,AMARIN CORP PLC\UK  (AMRN),2834,0000950170-22-000201,AMRN
APPROVAL,1759425,2022-01-11,"Mirum Pharmaceuticals, Inc.  (MIRM)",2834,0001193125-22-006385,MIRM
APPROVAL,1076682,2022-01-18,"POLARITYTE, INC.  (RGTPQ)",2836,0001493152-22-001413,
APPROVAL,310158,2022-02-03,"Merck & Co., Inc.  (MRK)",2834,0001104659-22-011130,MRK
APPROVAL,1321834,2022-02-08,"MyMD Pharmaceuticals, Inc.  (TNFA)",2835,0001493152-22-003424,QCLS
APPROVAL,78003,2022-02-08,PFIZER INC  (PFE),2834,0000078003-22-000003,PFE
APPROVAL,879169,2022-02-08,INCYTE CORP  (INCY),8731,0001558370-22-000883,INCY
APPROVAL,863894,2022-02-09,VERU INC.  (VERU),2834,0001193125-22-031804,VERU
APPROVAL,886163,2022-02-17,"LIGAND PHARMACEUTICALS INC  (LGND, LGNDZ, LGNXZ, LGNYZ, LGNZZ)",2834,0000886163-22-000026,LGNZZ
APPROVAL,1321834,2022-02-23,"MyMD Pharmaceuticals, Inc.  (TNFA)",2835,0001493152-22-005201,QCLS
APPROVAL,1396814,2022-02-24,"Pacira BioSciences, Inc.  (PCRX)",2834,0001396814-22-000018,PCRX
APPROVAL,1439222,2022-02-24,"AGIOS PHARMACEUTICALS, INC.  (AGIO)",2834,0001193125-22-051106,AGIO
APPROVAL,1720725,2022-02-24,"Oyster Point Pharma, Inc.",2836,0001720725-22-000026,
APPROVAL,1689813,2022-02-25,Biohaven Pharmaceutical Holding Co Ltd.,2834,0001689813-22-000012,
CRL,1358762,2022-02-28,REATA PHARMACEUTICALS INC,2834,0001564590-22-007336,
APPROVAL,818033,2022-02-28,"HERON THERAPEUTICS, INC. /DE/  (HRTX)",2834,0001564590-22-007608,HRTX
APPROVAL,897448,2022-03-01,AMARIN CORP PLC\UK  (AMRN),2834,0000950170-22-002396,AMRN
APPROVAL,1831283,2022-03-02,LianBio  (LIANY),2834,0001831283-22-000005,LIANY
APPROVAL,891293,2022-03-02,CTI BIOPHARMA CORP,2834,0001193125-22-061828,
APPROVAL,1087294,2022-03-08,CUMBERLAND PHARMACEUTICALS INC  (CPIX),2834,0001628280-22-005405,CPIX
APPROVAL,1394319,2022-03-15,"Tracon Pharmaceuticals, Inc.  (TCON)",2836,0001564590-22-010384,
APPROVAL,1300699,2022-03-16,"Athenex, Inc.",2834,0001193125-22-077351,
APPROVAL,1267813,2022-03-18,MARINUS PHARMACEUTICALS INC  (MRNS),2834,0001104659-22-035671,
APPROVAL,1267813,2022-03-21,MARINUS PHARMACEUTICALS INC  (MRNS),2834,0001104659-22-035856,
APPROVAL,1385818,2022-03-23,"AYTU BIOPHARMA, INC  (AYTU)",2834,0001558370-22-004113,AYTU
APPROVAL,818033,2022-03-25,"HERON THERAPEUTICS, INC. /DE/  (HRTX)",2834,0001564590-22-011751,HRTX
APPROVAL,1535955,2022-03-29,Lipocine Inc.  (LPCN),2834,0001493152-22-007949,LPCN
APPROVAL,764195,2022-03-29,VBI Vaccines Inc/BC  (VBIVQ),2834,0001493152-22-007953,
APPROVAL,1401914,2022-03-31,"Dare Bioscience, Inc.  (DARE)",2834,0001401914-22-000022,DARE
APPROVAL,887247,2022-03-31,Adamis Pharmaceuticals Corp  (DMKPQ),2834,0001387131-22-004489,
APPROVAL,850261,2022-04-04,"Sorrento Therapeutics, Inc.  (SRNE)",2836,0001104659-22-041997,
APPROVAL,1012477,2022-04-05,AVADEL PHARMACEUTICALS PLC  (AVDL),2834,0001104659-22-042865,
APPROVAL,1710340,2022-04-11,"Eton Pharmaceuticals, Inc.  (ETON)",2834,0001493152-22-009540,ETON
APPROVAL,925741,2022-04-12,"BioCardia, Inc.  (BCDA)",2836,0001437749-22-008711,BCDA
APPROVAL,1476963,2022-04-20,"HEAT BIOLOGICS, INC.  (SCPX)",2834,0001079973-22-000456,
APPROVAL,1800,2022-04-20,ABBOTT LABORATORIES  (ABT),2834,0001104659-22-047560,ABT
APPROVAL,1504167,2022-04-25,"Timber Pharmaceuticals, Inc.",2834,0001558370-22-005898,
APPROVAL,1567514,2022-04-25,"Intra-Cellular Therapies, Inc.  (ITCI)",2834,0001193125-22-116303,
APPROVAL,850261,2022-04-28,"Sorrento Therapeutics, Inc.  (SRNE)",2836,0001104659-22-051721,
CRL,1579428,2022-05-02,"Axsome Therapeutics, Inc.  (AXSM)",2834,0000950170-22-006770,AXSM
APPROVAL,1682852,2022-05-04,"Moderna, Inc.  (MRNA)",2836,0001682852-22-000020,MRNA
APPROVAL,897448,2022-05-04,AMARIN CORP PLC\UK  (AMRN),2834,0000950170-22-007190,AMRN
APPROVAL,818033,2022-05-09,"HERON THERAPEUTICS, INC. /DE/  (HRTX)",2834,0001564590-22-018871,HRTX
APPROVAL,1087294,2022-05-10,CUMBERLAND PHARMACEUTICALS INC  (CPIX),2834,0001628280-22-013656,CPIX
APPROVAL,1831283,2022-05-12,LianBio  (LIANY),2834,0001831283-22-000037,LIANY
APPROVAL,863894,2022-05-12,VERU INC.  (VERU),2834,0001193125-22-148039,VERU
APPROVAL,1117480,2022-05-16,CHIMERIX INC  (CMRX),2834,0001117480-22-000019,
APPROVAL,1367644,2022-05-16,Emergent BioSolutions Inc.  (EBS),2834,0001367644-22-000072,EBS
APPROVAL,1434647,2022-05-16,"KEMPHARM, INC  (ZVRA)",2834,0001193125-22-150975,ZVRA
APPROVAL,1082554,2022-05-24,UNITED THERAPEUTICS Corp  (UTHR),2834,0001104659-22-064024,UTHR
APPROVAL,1635088,2022-05-24,Roivant Sciences Ltd.  (ROIV),2834,0001193125-22-158029,ROIV
CRL,1660334,2022-05-25,Verrica Pharmaceuticals Inc.  (VRCA),2834,0001193125-22-159075,VRCA
APPROVAL,1824884,2022-05-25,Edoc Acquisition Corp.,2836,0001213900-22-029354,
APPROVAL,1404281,2022-05-31,"Eledon Pharmaceuticals, Inc.  (ELDN)",2834,0000950170-22-010890,ELDN
APPROVAL,850261,2022-06-03,"Sorrento Therapeutics, Inc.  (SRNE)",2836,0001104659-22-067885,
APPROVAL,897448,2022-06-06,AMARIN CORP PLC\UK  (AMRN),2834,0001193125-22-168396,AMRN
APPROVAL,1430306,2022-06-08,Tonix Pharmaceuticals Holding Corp.  (TNXP),2834,0001387131-22-006817,TNXP
APPROVAL,818033,2022-06-14,"HERON THERAPEUTICS, INC. /DE/  (HRTX)",2834,0001564590-22-023137,HRTX
APPROVAL,850261,2022-06-14,"Sorrento Therapeutics, Inc.  (SRNE)",2836,0001104659-22-070936,
CRL,1701108,2022-06-27,"Spero Therapeutics, Inc.  (SPRO)",2834,0001193125-22-182828,SPRO
APPROVAL,1401914,2022-06-30,"Dare Bioscience, Inc.  (DARE)",2834,0001493152-22-018170,DARE
APPROVAL,1597264,2022-06-30,Blueprint Medicines Corp  (BPMC),2834,0001104659-22-076292,
APPROVAL,1820190,2022-07-05,"Vickers Vantage Corp. I  (SCLX, SCLXW)",2836,0001213900-22-036989,SCLXW
APPROVAL,1710340,2022-07-18,"Eton Pharmaceuticals, Inc.  (ETON)",2834,0001493152-22-019529,ETON
APPROVAL,1638097,2022-08-01,Entera Bio Ltd.  (ENTX),2836,0001178913-22-002842,ENTX
APPROVAL,1649904,2022-08-02,"RHYTHM PHARMACEUTICALS, INC.  (RYTM)",2834,0001104659-22-084960,RYTM
APPROVAL,1787306,2022-08-02,"Arcutis Biotherapeutics, Inc.  (ARQT)",2834,0001628280-22-020207,ARQT
APPROVAL,897448,2022-08-03,AMARIN CORP PLC\UK  (AMRN),2834,0000950170-22-014007,AMRN
APPROVAL,1512762,2022-08-04,"Coherus BioSciences, Inc.  (CHRS)",2836,0001558370-22-012225,CHRS
APPROVAL,1783032,2022-08-04,"Elevation Oncology, Inc.  (ELEV)",2836,0001558370-22-012064,
APPROVAL,1477845,2022-08-08,"Annovis Bio, Inc.  (ANVS)",2834,0001104659-22-086948,ANVS
APPROVAL,886163,2022-08-08,"LIGAND PHARMACEUTICALS INC  (LGND, LGNDZ, LGNXZ, LGNYZ, LGNZZ)",2834,0000886163-22-000113,LGNZZ
APPROVAL,1087294,2022-08-09,CUMBERLAND PHARMACEUTICALS INC  (CPIX),2834,0001628280-22-021989,CPIX
APPROVAL,1720893,2022-08-09,"BioXcel Therapeutics, Inc.  (BTAI)",2834,0001104659-22-087584,BTAI
APPROVAL,1293971,2022-08-17,"bluebird bio, Inc.  (BLUE)",2836,0001293971-22-000051,
APPROVAL,1579428,2022-08-19,"Axsome Therapeutics, Inc.  (AXSM)",2834,0001193125-22-224610,AXSM
APPROVAL,1479290,2022-09-08,"Revance Therapeutics, Inc.  (RVNC)",2834,0001479290-22-000085,
APPROVAL,831547,2022-09-12,SPECTRUM PHARMACEUTICALS INC,2834,0001193125-22-242330,
APPROVAL,818033,2022-09-19,"HERON THERAPEUTICS, INC. /DE/  (HRTX)",2834,0001564590-22-031836,HRTX
APPROVAL,1211583,2022-09-21,FENNEC PHARMACEUTICALS INC.  (FENC),2836,0001104659-22-101910,FENC
APPROVAL,831547,2022-09-23,SPECTRUM PHARMACEUTICALS INC,2834,0001193125-22-250274,
APPROVAL,1367644,2022-09-26,Emergent BioSolutions Inc.  (EBS),2834,0001367644-22-000135,EBS
APPROVAL,1369568,2022-09-29,"CATALYST PHARMACEUTICALS, INC.  (CPRX)",2834,0001193125-22-254346,
APPROVAL,850261,2022-09-29,"Sorrento Therapeutics, Inc.  (SRNE)",2836,0001104659-22-103907,
APPROVAL,1658551,2022-09-30,"Amylyx Pharmaceuticals, Inc.  (AMLX)",2834,0001193125-22-254838,AMLX
APPROVAL,1430306,2022-10-03,Tonix Pharmaceuticals Holding Corp.  (TNXP),2834,0001387131-22-010208,TNXP
CRL,1356576,2022-10-11,"SUPERNUS PHARMACEUTICALS, INC.  (SUPN)",2834,0001356576-22-000063,SUPN
APPROVAL,1604950,2022-10-14,scPharmaceuticals Inc.  (SCPH),2834,0001193125-22-262940,
APPROVAL,1211583,2022-10-17,FENNEC PHARMACEUTICALS INC.  (FENC),2836,0001104659-22-109063,FENC
APPROVAL,897448,2022-10-27,AMARIN CORP PLC\UK  (AMRN),2834,0000950170-22-020244,AMRN
APPROVAL,1087294,2022-11-08,CUMBERLAND PHARMACEUTICALS INC  (CPIX),2834,0001628280-22-028987,CPIX
APPROVAL,1479290,2022-11-08,"Revance Therapeutics, Inc.  (RVNC)",2834,0001479290-22-000100,
APPROVAL,818033,2022-11-08,"HERON THERAPEUTICS, INC. /DE/  (HRTX)",2834,0001564590-22-037038,HRTX
APPROVAL,1422142,2022-11-09,"Aadi Bioscience, Inc.  (AADI)",2834,0001193125-22-280757,WHWK
APPROVAL,1658551,2022-11-10,"Amylyx Pharmaceuticals, Inc.  (AMLX)",2834,0000950170-22-024448,AMLX
APPROVAL,1360214,2022-11-14,"HARROW HEALTH, INC.  (HROW, HROWL, HROWM)",2834,0001493152-22-032070,HROW
APPROVAL,1425205,2022-11-18,"IOVANCE BIOTHERAPEUTICS, INC.  (IOVA)",2836,0001104659-22-120278,IOVA
APPROVAL,1034842,2022-12-02,RIGEL PHARMACEUTICALS INC  (RIGL),2834,0001104659-22-123853,RIGL
APPROVAL,925741,2022-12-06,"BioCardia, Inc.  (BCDA)",2836,0001437749-22-028496,BCDA
APPROVAL,827871,2022-12-19,"EAGLE PHARMACEUTICALS, INC.  (EGRX)",2834,0001104659-22-128034,
APPROVAL,1069308,2022-12-27,Acer Therapeutics Inc.,2834,0001564590-22-039696,
APPROVAL,1001316,2022-12-28,"TG THERAPEUTICS, INC.  (TGTX)",2834,0001558370-22-019019,TGTX
APPROVAL,887359,2022-12-29,Vericel Corp  (VCEL),2836,0001104659-22-130934,VCEL
APPROVAL,1860782,2023-01-09,"2seventy bio, Inc.  (TSVT)",2834,0001860782-23-000010,
APPROVAL,855654,2023-01-09,"ImmunoGen, Inc.",2834,0001558370-23-000119,
APPROVAL,887359,2023-01-10,Vericel Corp  (VCEL),2836,0001104659-23-002721,VCEL
APPROVAL,897448,2023-01-10,AMARIN CORP PLC\UK  (AMRN),2834,0001193125-23-005718,AMRN
APPROVAL,1651308,2023-01-23,"BeiGene, Ltd.  (BGNE, BEIGF)",2834,0001651308-23-000022,BEIGF
APPROVAL,1820190,2023-01-30,"Scilex Holding Co  (SCLX, SCLXW)",2836,0001193125-23-018205,SCLXW
APPROVAL,1211583,2023-01-31,FENNEC PHARMACEUTICALS INC.  (FENC),2836,0001104659-23-008450,FENC
APPROVAL,1820190,2023-02-02,"Scilex Holding Co  (SCLX, SCLXW)",2836,0001193125-23-022773,SCLXW
APPROVAL,310158,2023-02-02,"Merck & Co., Inc.  (MRK)",2834,0001104659-23-009552,MRK
APPROVAL,882095,2023-02-02,"GILEAD SCIENCES, INC.  (GILD)",2836,0000882095-23-000003,GILD
APPROVAL,1060736,2023-02-15,Seagen Inc.,2836,0001060736-23-000007,
APPROVAL,850261,2023-02-22,"Sorrento Therapeutics, Inc.  (SRNE)",2836,0001104659-23-023902,
APPROVAL,886163,2023-02-22,"LIGAND PHARMACEUTICALS INC  (LGND, LGNDZ, LGNXZ, LGNYZ, LGNZZ)",2834,0000886163-23-000004,LGNZZ
APPROVAL,1597264,2023-02-23,Blueprint Medicines Corp  (BPMC),2834,0001104659-23-024756,
APPROVAL,887359,2023-02-23,Vericel Corp  (VCEL),2836,0001628280-23-004701,VCEL
APPROVAL,1358762,2023-02-28,REATA PHARMACEUTICALS INC,2834,0000950170-23-005219,
APPROVAL,1860782,2023-02-28,"2seventy bio, Inc.  (TSVT)",2834,0001628280-23-005570,
APPROVAL,1649904,2023-03-01,"RHYTHM PHARMACEUTICALS, INC.  (RYTM)",2834,0001104659-23-026995,RYTM
APPROVAL,897448,2023-03-01,AMARIN CORP PLC\UK  (AMRN),2834,0000950170-23-005329,AMRN
APPROVAL,1087294,2023-03-07,CUMBERLAND PHARMACEUTICALS INC  (CPIX),2834,0001628280-23-006782,CPIX
APPROVAL,1494650,2023-03-07,"OptiNose, Inc.  (OPTN)",2834,0001494650-23-000018,
APPROVAL,1783328,2023-03-08,"TScan Therapeutics, Inc.  (TCRX)",2836,0000950170-23-006586,TCRX
APPROVAL,1658551,2023-03-13,"Amylyx Pharmaceuticals, Inc.  (AMLX)",2834,0000950170-23-007580,AMLX
APPROVAL,1430306,2023-03-16,Tonix Pharmaceuticals Holding Corp.  (TNXP),2834,0001387131-23-003469,TNXP
APPROVAL,1820190,2023-03-21,"Scilex Holding Co  (SCLX, SCLXW)",2836,0001193125-23-075731,SCLXW
APPROVAL,1430306,2023-03-23,Tonix Pharmaceuticals Holding Corp.  (TNXP),2834,0001839882-23-007387,TNXP
APPROVAL,1610618,2023-03-23,"Cidara Therapeutics, Inc.  (CDTX)",2836,0001610618-23-000022,
APPROVAL,1069308,2023-03-27,Acer Therapeutics Inc.,2834,0000950170-23-009983,
