kind,cik,date,name,sic,accession,ticker
APPROVAL,1368514,2019-07-08,"ADMA BIOLOGICS, INC.  (ADMA)",2836,0001193805-19-000621,ADMA
APPROVAL,1551152,2019-07-26,AbbVie Inc.  (ABBV),2834,0001551152-19-000021,ABBV
APPROVAL,914475,2019-07-29,NEUROCRINE BIOSCIENCES INC  (NBIX),2836,0001564590-19-026585,NBIX
APPROVAL,310158,2019-07-30,"Merck & Co., Inc.  (MRK)",2834,0001104659-19-042471,MRK
APPROVAL,1561743,2019-08-01,"Kindred Biosciences, Inc.",2834,0001561743-19-000052,
APPROVAL,1596946,2019-08-05,Quotient Ltd,2835,0001564590-19-028531,
APPROVAL,1368514,2019-08-08,"ADMA BIOLOGICS, INC.  (ADMA)",2836,0001193805-19-000714,ADMA
CRL,1479419,2019-08-08,"Kala Pharmaceuticals, Inc.  (KALA)",2834,0001104659-19-044885,KALA
APPROVAL,1517022,2019-08-08,"Akebia Therapeutics, Inc.  (AKBA)",2834,0001193125-19-216112,AKBA
APPROVAL,1595097,2019-08-08,"Corbus Pharmaceuticals Holdings, Inc.  (CRBP)",2834,0001493152-19-011831,CRBP
CRL,1689813,2019-08-08,Biohaven Pharmaceutical Holding Co Ltd.,2834,0001689813-19-000046,
APPROVAL,1429260,2019-08-09,"Fortress Biotech, Inc.  (FBIO, FBIOP)",2834,0001144204-19-038918,FBIOP
CRL,1689813,2019-08-09,Biohaven Pharmaceutical Holding Co Ltd.,2834,0001689813-19-000055,
APPROVAL,1659617,2019-08-16,"Moleculin Biotech, Inc.  (MBRX)",2834,0001659617-19-000145,MBRX
CRL,1347178,2019-08-19,Vanda Pharmaceuticals Inc.  (VNDA),2834,0001193125-19-224024,VNDA
APPROVAL,1641640,2019-08-19,Nabriva Therapeutics plc,2834,0001104659-19-046525,
CRL,873303,2019-08-20,"Sarepta Therapeutics, Inc.  (SRPT)",2834,0001564590-19-032588,SRPT
APPROVAL,1595893,2019-09-03,"Turning Point Therapeutics, Inc.",2834,0001193125-19-236665,
APPROVAL,1641640,2019-09-09,Nabriva Therapeutics plc,2834,0001104659-19-049328,
APPROVAL,1437402,2019-09-13,"ARDELYX, INC.  (ARDX)",2834,0001558370-19-008604,ARDX
APPROVAL,1368514,2019-09-23,"ADMA BIOLOGICS, INC.  (ADMA)",2836,0001193805-19-000839,ADMA
APPROVAL,1689813,2019-10-03,Biohaven Pharmaceutical Holding Co Ltd.,2834,0001410578-19-001524,
APPROVAL,1478121,2019-10-07,Pfenex Inc.,2834,0001193125-19-263217,
APPROVAL,1358762,2019-10-16,REATA PHARMACEUTICALS INC,2834,0001564590-19-037025,
APPROVAL,1606645,2019-10-18,Foamix Pharmaceuticals Ltd.,2833,0001178913-19-002491,
CRL,1005201,2019-10-21,"Assertio Therapeutics, Inc",2834,0001005201-19-000115,
